date,count,count_positive,count_negative,quotient,count_mean_7,count_positive_mean_7,count_negative_mean_7,quotient_mean_7,incidence,hospitalizations,icu_ratio,icu_ratio_mean_7,phase
2022-03-18,54022,3651,50371,0.0675835770611973,51200,3533,47667,0.06900390625,1897.1,15.31,0.09351840478237727,0.09163639527730774,Phase 7
2022-03-19,54582,2856,51726,0.0523249422886666,51308.5714285714,3525.14285714286,47783.4285714286,0.0687047555407061,1916.4,15.4,0.09252375051631558,0.09251532229320766,Phase 7
2022-03-20,46583,3490,43093,0.0749200352059764,51222.4285714286,3552.28571428571,47670.1428571429,0.0693502009443408,1901,15.29,0.09399867374005305,0.09308732386674458,Phase 7
2022-03-21,49646,4208,45438,0.0847601015187528,50727.5714285714,3573.28571428571,47154.2857142857,0.0704407014500427,1901.4,15.2,0.0965182718789822,0.09374597326264877,Phase 7
2022-03-22,45985,3784,42201,0.0822877025116886,50199.1428571429,3583.71428571429,46615.4285714286,0.0713899497430235,1937.1,15.09,0.09723923874867271,0.09433774007409569,Phase 7
2022-03-23,46593,3644,42949,0.078209173051746,49590.4285714286,3580.28571428571,46010.1428571429,0.0721971117698404,1960.9,15.13,0.09514483884128927,0.09457921266594091,Phase 7
2022-03-24,44567,3325,41242,0.0746067718266879,48854,3565.42857142857,45288.5714285714,0.0729813028908292,1961.5,15.1,0.09465673706914093,0.09479998793954729,Phase 7
2022-03-25,50814,3228,47586,0.0635257999763845,48395.7142857143,3505,44890.7142857143,0.0724237683384007,1951.1,14.96,0.09430874350476658,0.09491289347131719,Phase 7
2022-03-26,52487,2832,49655,0.0539562177301046,48096.4285714286,3501.57142857143,44594.8571428571,0.0728031484369199,1938.4,14.96,0.09651951058201058,0.09548371633784504,Phase 7
2022-03-27,39773,2960,36813,0.0744223468181932,47123.5714285714,3425.85714285714,43697.7142857143,0.0726994376487351,1932.4,15,0.09689729550356728,0.09589780516120422,Phase 7
2022-03-28,45780,3869,41911,0.0845128877238969,46571.2857142857,3377.42857142857,43193.8571428571,0.0725216948518247,1908.9,15.03,0.09661281062904946,0.09591131069692811,Phase 7
2022-03-29,42679,3303,39376,0.0773916914641861,46099,3308.71428571429,42790.2857142857,0.0717741010805936,1871.8,15.01,0.09678338762214984,0.09584618910742485,Phase 7
2022-03-30,43270,3228,40042,0.0746013404206147,45624.2857142857,3249.28571428571,42375,0.0712183360991953,1835.1,14.85,0.09481601951616182,0.09579921491812093,Phase 7
2022-03-31,40729,2718,38011,0.0667337769157112,45076,3162.57142857143,41913.4285714286,0.0701608711636221,1777.5,14.6,0.09379579872984856,0.09567622372679345,Phase 7
2022-04-01,44865,2504,42361,0.0558118800846985,44226.1428571429,3059.14285714286,41167,0.0691704647865031,1712.5,14.36,0.09313102316998155,0.0955079779646813,Phase 7
2022-04-02,43212,2152,41060,0.0498009812089234,42901.1428571429,2962,39939.1428571429,0.0690424497515884,1637.8,13.83,0.09147978358732912,0.09478801696544109,Phase 7
