lag,ccf,p_value,p_value_bh,phase,target
21,-0.0318424972241891,0.6936770658213383,0.987053063532126,Phase 7,hospitalizations
-21,-0.04960000993769708,0.5489600465191802,0.9099263026724583,Phase 7,icu_ratio_mean_7
-20,-0.010090854558827715,0.9029558347158806,0.9979880146458234,Phase 7,icu_ratio_mean_7
-19,0.04519246536857496,0.5850228819211428,0.931703108244783,Phase 7,icu_ratio_mean_7
-18,-0.11958072731775884,0.14848613766440324,0.679329860425973,Phase 7,icu_ratio_mean_7
-17,0.0011878251071200648,0.9885487187882622,0.9979880146458234,Phase 7,icu_ratio_mean_7
-16,0.1027707882525243,0.21431620884300787,0.679329860425973,Phase 7,icu_ratio_mean_7
-15,0.08574584822924768,0.30016900809519736,0.679329860425973,Phase 7,icu_ratio_mean_7
-14,0.06368361015965028,0.4416012982228715,0.7912023259826447,Phase 7,icu_ratio_mean_7
-13,0.06398977242934525,0.4394091374483437,0.7912023259826447,Phase 7,icu_ratio_mean_7
-12,0.12880371968481533,0.11962696349622146,0.679329860425973,Phase 7,icu_ratio_mean_7
-11,0.041775887144591406,0.6137133892009775,0.9424884191300726,Phase 7,icu_ratio_mean_7
-10,0.11777235019353616,0.15472203180442345,0.679329860425973,Phase 7,icu_ratio_mean_7
-9,-2.0869343428696013e-4,0.9979880146458234,0.9979880146458234,Phase 7,icu_ratio_mean_7
-8,0.011976261439853263,0.8849400664134649,0.9979880146458234,Phase 7,icu_ratio_mean_7
-7,0.049447667561826655,0.5501879969647423,0.9099263026724583,Phase 7,icu_ratio_mean_7
-6,0.009348016859821813,0.910068199775794,0.9979880146458234,Phase 7,icu_ratio_mean_7
-5,-0.08950050838852794,0.2795019891195653,0.679329860425973,Phase 7,icu_ratio_mean_7
-4,0.08677308066416597,0.29441607405894243,0.679329860425973,Phase 7,icu_ratio_mean_7
-3,-0.0722504783184455,0.382659888496948,0.7702013116486396,Phase 7,icu_ratio_mean_7
-2,-0.15646220127921942,0.058685779997797435,0.6285168758030407,Phase 7,icu_ratio_mean_7
-1,-0.08880142949176217,0.28327481544355104,0.679329860425973,Phase 7,icu_ratio_mean_7
0,-0.07053552559534104,0.39405648502953655,0.7702013116486396,Phase 7,icu_ratio_mean_7
1,-0.16744290880319335,0.0430504329470534,0.6170562055744321,Phase 7,icu_ratio_mean_7
2,0.003949522178114532,0.9619375949502693,0.9979880146458234,Phase 7,icu_ratio_mean_7
3,-0.19972203221456714,0.015810948886616872,0.4326925994391262,Phase 7,icu_ratio_mean_7
4,-0.09434210962733643,0.2543112789692984,0.679329860425973,Phase 7,icu_ratio_mean_7
5,-0.07358890239259422,0.3739073755962243,0.7702013116486396,Phase 7,icu_ratio_mean_7
6,-0.11276787321036662,0.17301510592421582,0.679329860425973,Phase 7,icu_ratio_mean_7
7,-0.14132668822401814,0.08770002918181963,0.6285168758030407,Phase 7,icu_ratio_mean_7
8,0.006789284699151964,0.9346186910956663,0.9979880146458234,Phase 7,icu_ratio_mean_7
9,-0.1923360051412394,0.020125237183215173,0.4326925994391262,Phase 7,icu_ratio_mean_7
10,-0.09309164765690475,0.2606608001711647,0.679329860425973,Phase 7,icu_ratio_mean_7
11,-0.09470890217094109,0.252469387275371,0.679329860425973,Phase 7,icu_ratio_mean_7
12,-0.0031729130214606595,0.9694178315254988,0.9979880146458234,Phase 7,icu_ratio_mean_7
13,0.0012461385052269167,0.9879865873483642,0.9979880146458234,Phase 7,icu_ratio_mean_7
14,-0.028253601033525644,0.7328103333080933,0.9979880146458234,Phase 7,icu_ratio_mean_7
15,-0.019403167710121343,0.8146361366900705,0.9979880146458234,Phase 7,icu_ratio_mean_7
16,0.014755455787271035,0.8584945638318253,0.9979880146458234,Phase 7,icu_ratio_mean_7
17,0.02105425716564054,0.7991868929618401,0.9979880146458234,Phase 7,icu_ratio_mean_7
18,0.03548043335826559,0.6681330396082383,0.9906800242466983,Phase 7,icu_ratio_mean_7
19,0.008949400411620685,0.9138877985294713,0.9979880146458234,Phase 7,icu_ratio_mean_7
20,0.11010539366883282,0.18338370443449709,0.679329860425973,Phase 7,icu_ratio_mean_7
21,0.14419097161599678,0.08146188557349442,0.6285168758030407,Phase 7,icu_ratio_mean_7
-21,0.011122563741321628,0.864043161167628,0.974305618632234,Phase 8,incidence
-20,-0.08333264611214508,0.19953069379444008,0.6599861410123786,Phase 8,incidence
-19,0.04802023033035467,0.45974788926628796,0.859528662541321,Phase 8,incidence
-18,0.02091744180801791,0.7474376010459594,0.974305618632234,Phase 8,incidence
-17,-0.048660245748102536,0.4537879181506173,0.859528662541321,Phase 8,incidence
-16,-0.026281530166951794,0.685772283355907,0.974305618632234,Phase 8,incidence
-15,-0.006528993886572489,0.9199373934160543,0.974305618632234,Phase 8,incidence
-14,0.13817234848852603,0.033408762675736996,0.3022746365018275,Phase 8,incidence
-13,-0.012514244492800482,0.8472296808110603,0.974305618632234,Phase 8,incidence
-12,-0.05455338316879793,0.40099885467172786,0.8210928928992522,Phase 8,incidence
-11,-0.021740293633178257,0.7378607817208247,0.974305618632234,Phase 8,incidence
-10,0.003938874510713937,0.9516473484314845,0.974305618632234,Phase 8,incidence
-9,0.12108536129768759,0.06230970645191534,0.4465528962387266,Phase 8,incidence
-8,0.07560001010849292,0.24448587451021908,0.6888125414679376,Phase 8,incidence
-7,-0.043213120928774496,0.5058857827696415,0.906378694128941,Phase 8,incidence
-6,-0.005608785055971111,0.9311912543154791,0.974305618632234,Phase 8,incidence
-5,-0.06261809589179877,0.33504926840094446,0.7594152919280095,Phase 8,incidence
-4,-0.01806113648334959,0.7809757717543542,0.974305618632234,Phase 8,incidence
